"id","sensor","time","data","session","sensor_data","sessionsecond","hedeflenen"
"2005709","o","23/5/2024 12:30:55","21.3","3568","6985","47",
"2005710","temp","23/5/2024 12:30:55","24.99","3568","16379","47",
"2005711","pressure","23/5/2024 12:30:55","1.57","3568","96","47",
"2005712","co2","23/5/2024 12:30:55","0","3568","0","47",
"2005713","o","23/5/2024 12:30:56","21.3","3568","6993","48",
"2005714","temp","23/5/2024 12:30:56","24.98","3568","16371","48",
"2005715","pressure","23/5/2024 12:30:56","1.04","3568","64","48",
"2005716","co2","23/5/2024 12:30:56","0","3568","0","48",
"2005717","o","23/5/2024 12:30:57","21.3","3568","6985","49",
"2005718","temp","23/5/2024 12:30:57","24.97","3568","16363","49",
"2005719","pressure","23/5/2024 12:30:57","1.57","3568","96","49",
"2005720","co2","23/5/2024 12:30:57","0","3568","0","49",
"2005721","o","23/5/2024 12:30:58","21.3","3568","6993","50",
"2005722","temp","23/5/2024 12:30:58","24.98","3568","16371","50",
"2005723","pressure","23/5/2024 12:30:58","1.96","3568","120","50",
"2005724","co2","23/5/2024 12:30:58","0","3568","0","50",
"2005725","o","23/5/2024 12:30:59","21.3","3568","6985","51",
"2005726","temp","23/5/2024 12:30:59","24.94","3568","16347","51",
"2005727","pressure","23/5/2024 12:30:59","2.09","3568","128","51",
"2005728","co2","23/5/2024 12:30:59","0","3568","0","51",
"2005729","o","23/5/2024 12:31:00","21.3","3568","6993","52",
"2005730","temp","23/5/2024 12:31:00","24.88","3568","16307","52",
"2005731","pressure","23/5/2024 12:31:00","2.09","3568","128","52",
"2005732","co2","23/5/2024 12:31:00","0","3568","0","52",
"2005733","o","23/5/2024 12:31:01","21.3","3568","6993","53",
"2005734","temp","23/5/2024 12:31:01","24.81","3568","16259","53",
"2005735","pressure","23/5/2024 12:31:01","2.09","3568","128","53",
"2005736","co2","23/5/2024 12:31:01","0","3568","0","53",
"2005737","o","23/5/2024 12:31:02","21.4","3568","7009","54",
"2005738","temp","23/5/2024 12:31:02","24.85","3568","16283","54",
"2005739","pressure","23/5/2024 12:31:02","2.09","3568","128","54",
"2005740","co2","23/5/2024 12:31:02","0","3568","0","54",
"2005741","o","23/5/2024 12:31:03","21.4","3568","7009","55",
"2005742","temp","23/5/2024 12:31:03","24.85","3568","16283","55",
"2005743","pressure","23/5/2024 12:31:03","2.35","3568","144","55",
"2005744","co2","23/5/2024 12:31:03","0","3568","0","55",
"2005745","o","23/5/2024 12:31:04","21.4","3568","7009","56",
"2005746","temp","23/5/2024 12:31:04","24.85","3568","16283","56",
"2005747","pressure","23/5/2024 12:31:04","2.09","3568","128","56",
"2005748","co2","23/5/2024 12:31:04","0","3568","0","56",
"2005749","o","23/5/2024 12:31:05","21.4","3568","7009","57",
"2005750","temp","23/5/2024 12:31:05","24.85","3568","16283","57",
"2005751","pressure","23/5/2024 12:31:05","2.22","3568","136","57",
"2005752","co2","23/5/2024 12:31:05","0","3568","0","57",
"2005753","o","23/5/2024 12:31:06","21.4","3568","7009","58",
"2005754","temp","23/5/2024 12:31:06","24.87","3568","16299","58",
"2005755","pressure","23/5/2024 12:31:06","2.09","3568","128","58",
"2005756","co2","23/5/2024 12:31:06","0","3568","0","58",
"2005757","o","23/5/2024 12:31:07","21.3","3568","6993","59",
"2005758","temp","23/5/2024 12:31:07","24.81","3568","16259","59",
"2005759","pressure","23/5/2024 12:31:07","2.22","3568","136","59",
"2005760","co2","23/5/2024 12:31:07","0","3568","0","59",
"2005761","o","23/5/2024 12:31:08","21.4","3568","7009","60",
"2005762","temp","23/5/2024 12:31:08","24.88","3568","16307","60",
"2005763","pressure","23/5/2024 12:31:08","2.09","3568","128","60",
"2005764","co2","23/5/2024 12:31:08","0","3568","0","60",
"2005765","o","23/5/2024 12:31:09","21.3","3568","6993","61",
"2005766","temp","23/5/2024 12:31:09","24.85","3568","16283","61",
"2005767","pressure","23/5/2024 12:31:09","2.22","3568","136","61",
"2005768","co2","23/5/2024 12:31:09","0","3568","0","61",
"2005769","o","23/5/2024 12:31:10","21.3","3568","6993","62",
"2005770","temp","23/5/2024 12:31:10","24.91","3568","16323","62",
"2005771","pressure","23/5/2024 12:31:10","2.09","3568","128","62",
"2005772","co2","23/5/2024 12:31:10","0","3568","0","62",
"2005773","o","23/5/2024 12:31:11","21.3","3568","6993","63",
"2005774","temp","23/5/2024 12:31:11","24.86","3568","16291","63",
"2005775","pressure","23/5/2024 12:31:11","2.35","3568","144","63",
"2005776","co2","23/5/2024 12:31:11","0","3568","0","63",
"2005777","o","23/5/2024 12:31:12","21.3","3568","6993","64",
"2005778","temp","23/5/2024 12:31:12","24.88","3568","16307","64",
"2005779","pressure","23/5/2024 12:31:12","2.35","3568","144","64",
"2005780","co2","23/5/2024 12:31:12","0","3568","0","64",
"2005781","o","23/5/2024 12:31:13","21.3","3568","6993","65",
"2005782","temp","23/5/2024 12:31:13","24.86","3568","16291","65",
"2005783","pressure","23/5/2024 12:31:13","2.35","3568","144","65",
"2005784","co2","23/5/2024 12:31:13","0","3568","0","65",
"2005785","o","23/5/2024 12:31:14","21.3","3568","6985","66",
"2005786","temp","23/5/2024 12:31:14","24.91","3568","16323","66",
"2005787","pressure","23/5/2024 12:31:14","2.61","3568","160","66",
"2005788","co2","23/5/2024 12:31:14","0","3568","0","66",
